Index,Artist,Song Name,Streams,Release Date,Genre,Loudness,Popularity,Danceability,Tempo,Energy,Chord,Duration (ms)
1,MÃ¥neskin,Beggin',48633449,2017-12-08,"['indie rock italiano', 'italian pop']",-4.808,100.0,0.714,134,0.8,B,211560
2,The Kid LAROI,STAY (with Justin Bieber),47248719,2021-07-09,['australian hip hop'],-5.484,99.0,0.591,169,0.764,C#/Db,141806
3,Olivia Rodrigo,good 4 u,40162559,2021-05-21,['pop'],-5.044,99.0,0.563,166,0.664,A,178147
4,Ed Sheeran,Bad Habits,37799456,2021-06-25,"['pop', 'uk pop']",-3.712,98.0,0.808,126,0.897,B,231041
5,Lil Nas X,INDUSTRY BABY (feat. Jack Harlow),33948454,2021-07-23,"['lgbtq+ hip hop', 'pop rap']",-7.409,96.0,0.736,149,0.704,D#/Eb,212000
6,Lil Nas X,MONTERO (Call Me By Your Name),30071134,2021-03-31,"['lgbtq+ hip hop', 'pop rap']",-6.682,97.0,0.61,178,0.508,G#/Ab,137876
7,Doja Cat,Kiss Me More (feat. SZA),29356736,2021-04-09,"['dance pop', 'pop']",-3.541,94.0,0.762,110,0.701,G#/Ab,208867
8,Rauw Alejandro,Todo De Ti,26951613,2021-05-20,"['puerto rican pop', 'trap latino']",-3.605,95.0,0.78,127,0.718,D#/Eb,199604
9,Bad Bunny,Yonaguni,25030128,2021-06-04,"['latin', 'reggaeton', 'trap latino']",-4.601,96.0,0.644,179,0.648,C#/Db,206710
10,MÃ¥neskin,I WANNA BE YOUR SLAVE,24551591,2021-03-19,"['indie rock italiano', 'italian pop']",-4.008,95.0,0.75,132,0.608,C#/Db,173347
11,Dua Lipa,Levitating (feat. DaBaby),23518010,2020-10-01,"['dance pop', 'pop', 'uk pop']",-3.787,89.0,0.702,102,0.825,F#/Gb,203064
12,"J Balvin, Maria Becerra",QuÃ© MÃ¡s Pues?,22405111,2021-05-28,"['latin', 'reggaeton', 'reggaeton colombiano']",-3.964,95.0,0.891,101,0.819,G#/Ab,217773
13,BTS,Permission to Dance,22062812,2021-07-09,"['k-pop', 'k-pop boy group']",-5.33,95.0,0.702,124,0.741,A,187585
14,Justin Bieber,Peaches (feat. Daniel Caesar & Giveon),20294457,2021-03-19,"['canadian pop', 'pop', 'post-teen pop']",-6.181,94.0,0.677,90,0.696,C,198082
15,BTS,Butter,19985713,2021-06-04,"['k-pop', 'k-pop boy group']",-5.187,95.0,0.759,109,0.459,G#/Ab,164442
16,Olivia Rodrigo,traitor,19480679,2021-05-21,['pop'],-7.885,94.0,0.38,100,0.339,D#/Eb,229227
17,Olivia Rodrigo,deja vu,18571755,2021-05-21,['pop'],-7.222,93.0,0.442,180,0.612,D,215507
18,The Weeknd,Save Your Tears (with Ariana Grande) (Remix),18053141,2021-04-23,"['canadian contemporary r&b', 'canadian pop', 'pop']",-4.645,94.0,0.65,118,0.825,C,191014
19,"Nio Garcia, J Balvin, Bad Bunny",AM Remix,17617965,2021-06-24,"['latin', 'reggaeton', 'trap latino']",-5.015,93.0,0.743,172,0.655,F#/Gb,261335
20,Doja Cat,Need To Know,16908917,2021-06-25,"['dance pop', 'pop']",-6.509,90.0,0.664,130,0.609,C#/Db,210560
21,"Mora, Bad Bunny, Sech",Volando - Remix,16606925,2021-07-08,"['reggaeton', 'trap latino']",-4.649,91.0,0.659,153,0.688,F#/Gb,273474
22,Doja Cat,Ain't Shit,16126897,2021-06-25,"['dance pop', 'pop']",-4.601,90.0,0.855,124,0.488,D#/Eb,174253
23,Olivia Rodrigo,drivers license,15684978,2021-05-21,['pop'],-8.81,92.0,0.561,143,0.431,A#/Bb,242013
24,Glass Animals,Heat Waves,15089184,2020-08-07,"['gauze pop', 'indietronica', 'shiver pop']",-6.9,85.0,0.761,80,0.525,B,238805
25,The Weeknd,Blinding Lights,15011809,2020-03-20,"['canadian contemporary r&b', 'canadian pop', 'pop']",-5.934,92.0,0.514,171,0.73,C#/Db,200040
26,Olivia Rodrigo,happier,14849078,2021-05-21,['pop'],-9.72,92.0,0.395,168,0.443,F#/Gb,175933
27,Farruko,Pepas,14809458,2021-06-24,"['latin', 'latin hip hop', 'reggaeton', 'trap latino']",-3.955,92.0,0.762,130,0.766,G,287120
28,Post Malone,Motley Crew,14329162,2021-07-09,"['dfw rap', 'melodic rap', 'rap']",-3.818,90.0,0.797,129,0.631,D#/Eb,184213
29,"Riton, Nightcrawlers",Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,14273637,2021-01-15,"['dance pop', 'house', 'pop dance', 'tropical house', 'uk dance']",-3.424,92.0,0.824,122,0.862,D,169153
30,Masked Wolf,Astronaut In The Ocean,14174752,2021-01-06,['australian hip hop'],-6.865,89.0,0.778,149,0.695,E,132780
31,"Bruno Mars, Anderson .Paak, Silk Sonic",Leave The Door Open,13963568,2021-03-05,"['dance pop', 'pop', 'post-teen pop']",-7.964,92.0,0.586,148,0.616,F,242096
32,Camila Cabello,Don't Go Yet,13205250,2021-07-23,"['dance pop', 'electropop', 'pop', 'post-teen pop']",-6.967,88.0,0.666,110,0.796,A#/Bb,164842
33,Olivia Rodrigo,favorite crime,12818935,2021-05-21,['pop'],-10.497,91.0,0.369,172,0.272,A,152667
34,"Sebastian Yatra, Myke Towers",Pareja Del AÃ±o,12572307,2021-04-16,"['colombian pop', 'latin', 'reggaeton', 'reggaeton colombiano']",-5.102,91.0,0.715,80,0.622,E,195053
35,Harry Styles,Watermelon Sugar,11996689,2019-12-13,"['pop', 'post-teen pop']",-4.209,90.0,0.548,95,0.816,C,174000
36,The Kid LAROI,NOT SOBER (feat. Polo G & Stunna Gambino),11869336, , ,,,0.0,0,, , 
37,Polo G,RAPSTAR,11683383,2021-04-09,['chicago rap'],-6.862,89.0,0.789,81,0.536,F#/Gb,165926
38,"Doja Cat, The Weeknd",You Right,11629418,2021-06-25,"['dance pop', 'pop']",-6.414,89.0,0.828,128,0.621,G#/Ab,186173
39,"Sech, Jhay Cortez",911 - Remix,11553846,2021-07-09,"['latin', 'panamanian pop', 'reggaeton', 'trap latino']",-3.728,89.0,0.816,93,0.71,G,208631
40,"Bad Bunny, Jhay Cortez",DÃKITI,11524288,2020-11-27,"['latin', 'reggaeton', 'trap latino']",-10.059,86.0,0.731,109,0.573,E,205090
41,"TINI, Maria Becerra",MiÃ©nteme,11477024,2021-04-29,"['latin pop', 'pop argentino']",-4.522,90.0,0.85,92,0.541,D,165275
42,Olivia Rodrigo,"jealousy, jealousy",11287301,2021-05-21,['pop'],-6.334,90.0,0.695,163,0.575,A#/Bb,173160
43,"J Balvin, KAROL G, Nicky Jam, Crissin, Totoy El Frio, Natan & Shander",Poblado - Remix,11283626,2021-06-18,"['latin', 'reggaeton', 'reggaeton colombiano']",-5.382,89.0,0.813,93,0.809,D#/Eb,393280
44,BTS,Dynamite,11196819,2020-11-20,"['k-pop', 'k-pop boy group']",-4.41,89.0,0.746,114,0.765,F#/Gb,199054
45,TiÃ«sto,The Business,10739770,2020-09-16,"['big room', 'brostep', 'dance pop', 'dutch edm', 'edm', 'electro house', 'house', 'pop dance', 'slap house', 'trance', 'tropical house']",-7.079,90.0,0.798,120,0.62,G#/Ab,164000
46,Galantis,Heartbreak Anthem (with David Guetta & Little Mix),10315460,2021-05-20,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'tropical house']",-4.878,89.0,0.595,124,0.784,C#/Db,183726
47,24kGoldn,Mood (feat. iann dior),10222056,2021-03-26,['cali rap'],-3.671,89.0,0.701,91,0.716,G,140533
48,"Tiago PZK, LIT killah",Entre Nosotros,10215216,2021-07-08,['trap argentino'],-6.345,89.0,0.729,170,0.513,F,192353
49,"Wisin, Jhay Cortez, Anuel AA, Los Legendarios, Myke Towers",Fiel - Remix,10032746,2021-06-15,"['latin', 'latin hip hop', 'reggaeton', 'trap latino']",-4.733,89.0,0.839,97,0.711,F#/Gb,349547
50,Bella Poarch,Build a Bitch,9841998,2021-05-14,[],-7.454,89.0,0.855,102,0.463,D#/Eb,122773
51,"Bizarrap, Nicky Jam","Nicky Jam: Bzrp Music Sessions, Vol. 41",9799701,2021-06-30,"['argentine hip hop', 'pop venezolano', 'trap argentino', 'trap latino']",-3.167,88.0,0.627,89,0.849,C#/Db,158087
52,"Marc SeguÃ­, Rauw Alejandro, Pol Granch",Tiroteo - Remix,9781153,2021-04-01,[],-7.018,88.0,0.75,110,0.522,A,321556
53,Billie Eilish,NDA,9635619,2021-07-30,"['electropop', 'pop']",-9.921,84.0,0.765,85,0.373,G#/Ab,195777
54,"Majestic, Boney M.",Rasputin,9600707,2021-06-25,"['house', 'pop dance', 'uk dance']",-6.985,49.0,0.83,128,0.839,F#/Gb,345543
55,Marshmello,Leave Before You Love Me (with Jonas Brothers),9428494,2021-05-21,"['brostep', 'edm', 'pop', 'pop dance', 'progressive electro house']",-4.77,89.0,0.721,119,0.738,G,154983
56,Surf Curse,Freaks,9319465,2021-05-15,"['dreamo', 'indie surf', 'surf punk', 'vegas indie']",-9.918,89.0,0.345,179,0.941,A,147062
57,JoÃ£o Gomes,Meu PedaÃ§o de Pecado,9206366,2021-06-01,[],-4.404,83.0,0.668,151,0.887,B,157176
58,"Rauw Alejandro, Mr. Naisgai",2/Catorce,9086979,2021-02-14,"['puerto rican pop', 'trap latino']",-5.988,87.0,0.54,83,0.455,D#/Eb,212032
59,Maroon 5,Beautiful Mistakes (feat. Megan Thee Stallion),9048966,2021-06-11,"['pop', 'pop rock']",-5.483,88.0,0.713,99,0.676,A#/Bb,227395
60,OneRepublic,Run,9017356,2021-05-05,"['dance pop', 'piano rock', 'pop', 'pop rock']",-8.173,88.0,0.682,117,0.72,B,169011
61,Megan Thee Stallion,Thot Shit,8977336,2021-06-11,"['houston rap', 'pop', 'pop rap', 'trap queen']",-3.424,88.0,0.95,130,0.693,A,184635
62,"ATB, Topic, A7S",Your Love (9PM),8935418,2021-01-15,"['german dance', 'german techno', 'german trance', 'trance']",-5.603,88.0,0.669,125,0.784,G,150053
63,Olivia Rodrigo,brutal,8881356,2021-05-21,['pop'],-6.446,89.0,0.672,123,0.526,E,143747
64,The Weeknd,Save Your Tears,8843110,2021-04-23,"['canadian contemporary r&b', 'canadian pop', 'pop']",-4.645,94.0,0.65,118,0.825,C,191014
65,Giveon,Heartbreak Anniversary,8832945,2020-03-27,"['pop', 'r&b']",-8.964,87.0,0.449,89,0.465,C,198371
66,Dua Lipa,Don't Start Now,8821971,2021-08-13,[],-4.521,0.0,0.793,123,0.793,B,183290
67,Trinidad Cardona,Dinero,8564775,2018-02-02,[],-4.687,87.0,0.708,119,0.782,D,160880
68,The Neighbourhood,Sweater Weather,8564017,2013-04-19,"['modern alternative rock', 'modern rock', 'pop']",-2.81,87.0,0.612,124,0.807,A#/Bb,240400
69,Maluma,Sobrio,8514480,2021-07-08,"['latin', 'reggaeton', 'reggaeton colombiano']",-2.758,87.0,0.762,177,0.77,F,201181
70,Lewis Capaldi,Someone You Loved,8490162,2019-05-17,"['pop', 'uk pop']",-5.679,86.0,0.501,109,0.405,C#/Db,182161
71,Smiley,Over The Top (feat. Drake),8269753,2021-07-23,"['canadian hip hop', 'toronto rap']",-5.196,83.0,0.833,139,0.498,A#/Bb,153406
72,Sleepy Hallow,2055,8133401,2021-06-02,"['brooklyn drill', 'nyc rap']",-5.865,85.0,0.829,80,0.512,F#/Gb,123987
73,"KAROL G, Mariah Angeliq",EL MAKINON,8102107,2021-03-26,"['latin', 'reggaeton', 'reggaeton colombiano']",-3.224,87.0,0.635,88,0.706,F,209160
74,"Justin Quiles, Chimbala, Zion & Lennox",Loco,8093413,2021-05-13,"['latin', 'reggaeton', 'trap latino']",-2.981,87.0,0.77,128,0.899,G#/Ab,231604
75,Shouse,Love Tonight - Edit,8006336,2017-12-14,['aussietronica'],-7.114,87.0,0.727,123,0.681,F,241970
76,MÃ¥neskin,ZITTI E BUONI,7975148,2021-03-19,"['indie rock italiano', 'italian pop']",-3.115,86.0,0.625,102,0.939,E,194787
77,Kali Uchis,telepatÃ­a,7912399,2020-12-04,"['colombian pop', 'pop']",-9.016,88.0,0.653,83,0.524,B,160191
78,"Gera MX, Christian Nodal",Botella Tras Botella,7735223,2021-04-23,"['mexican hip hop', 'rap conciencia']",-4.572,87.0,0.727,106,0.546,C,197333
79,"Los Legendarios, Wisin, Jhay Cortez",Fiel,7717211,2021-02-04,"['reggaeton', 'trap latino']",-4.407,88.0,0.849,98,0.701,F#/Gb,261667
80,Tones And I,Dance Monkey,7687058,2019-10-17,"['australian pop', 'pop']",-6.4,83.0,0.824,98,0.588,F#/Gb,209438
81,The Kid LAROI,WITHOUT YOU,7642130,2020-11-06,['australian hip hop'],-7.357,87.0,0.662,93,0.413,C,161385
82,Drake,Wants and Needs (feat. Lil Baby),7637626,2021-03-05,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",-6.349,87.0,0.578,136,0.449,C#/Db,192956
83,Bo Burnham,Bezos I,7516291,2021-06-10,['comic'],-5.307,84.0,0.694,115,0.948,D,58149
84,Dua Lipa,Love Again,7465445,2021-08-13,[],-4.668,0.0,0.659,115,0.667,B,258004
85,"Travis Scott, HVME",Goosebumps - Remix,7452633,2021-01-15,"['rap', 'slap house']",-7.846,87.0,0.841,124,0.593,C#/Db,162803
86,Joel Corry,Head & Heart (feat. MNEK),7434252,2020-07-03,"['dance pop', 'edm', 'pop', 'pop dance', 'tropical house', 'uk dance']",-3.158,87.0,0.734,122,0.874,G#/Ab,166028
87,"Joel Corry, RAYE, David Guetta",BED,7383369,2021-02-26,"['dance pop', 'edm', 'pop', 'pop dance', 'tropical house', 'uk dance']",-4.593,87.0,0.671,123,0.782,F#/Gb,178088
88,"Justin Wellington, Small Jam",Iko Iko (My Bestie),7381585,2019-06-03,"['melanesian pop', 'pacific islands pop', 'png pop']",-5.356,87.0,0.862,105,0.753,F,182857
